IPR;v1.0.3;12/03/2024;Temps d'execution :;2.57secs
"CODE_OPERATION";"CODE_STATION";"DATE";"CODE_PAR";"LIB_PAR";"RESULTAT"
"3412";"27612";"23/09/2008";NA;"ALT";5
"3412";"27612";"23/09/2008";7744;"Score NER";4.61558590181247
"3412";"27612";"23/09/2008";7743;"Score NEL";1.03894828722529
"3412";"27612";"23/09/2008";7644;"Score NTE";0.102129483010535
"3412";"27612";"23/09/2008";7786;"Score DIT";0.110635521824307
"3412";"27612";"23/09/2008";7746;"Score DIO";0.701471386754026
"3412";"27612";"23/09/2008";7745;"Score DII";3.52466577586049
"3412";"27612";"23/09/2008";7787;"Score DTI";7.20967714074891
"3412";"27612";"23/09/2008";7036;"IPR";17.303113497236
"3411";"27612";"05/10/2010";NA;"ALT";5
"3411";"27612";"05/10/2010";7744;"Score NER";4.5178777067117
"3411";"27612";"05/10/2010";7743;"Score NEL";3.40426386041189
"3411";"27612";"05/10/2010";7644;"Score NTE";2.68986907597214
"3411";"27612";"05/10/2010";7786;"Score DIT";0.0332041361733099
"3411";"27612";"05/10/2010";7746;"Score DIO";0.624456771777424
"3411";"27612";"05/10/2010";7745;"Score DII";12.0554033174206
"3411";"27612";"05/10/2010";7787;"Score DTI";18.2207057705868
"3411";"27612";"05/10/2010";7036;"IPR";41.5457806390539
"3410";"27612";"19/08/2013";NA;"ALT";5
"3410";"27612";"19/08/2013";7744;"Score NER";1.64615833618333
"3410";"27612";"19/08/2013";7743;"Score NEL";0.190598439680835
"3410";"27612";"19/08/2013";7644;"Score NTE";3.4369339216288
"3410";"27612";"19/08/2013";7786;"Score DIT";0.965823066615996
"3410";"27612";"19/08/2013";7746;"Score DIO";3.63874558684429
"3410";"27612";"19/08/2013";7745;"Score DII";4.71795749293479
"3410";"27612";"19/08/2013";7787;"Score DTI";3.08178832214366
"3410";"27612";"19/08/2013";7036;"IPR";17.6780051660317
"4880";"27612";"15/09/2014";NA;"ALT";5
"4880";"27612";"15/09/2014";7744;"Score NER";4.6043321219655
"4880";"27612";"15/09/2014";7743;"Score NEL";3.33060052297215
"4880";"27612";"15/09/2014";7644;"Score NTE";1.62113179699177
"4880";"27612";"15/09/2014";7786;"Score DIT";0.114864796978067
"4880";"27612";"15/09/2014";7746;"Score DIO";0.654257243961934
"4880";"27612";"15/09/2014";7745;"Score DII";7.71694929303763
"4880";"27612";"15/09/2014";7787;"Score DTI";12.5373197503247
"4880";"27612";"15/09/2014";7036;"IPR";30.5794555262318
"5079";"27612";"20/09/2016";NA;"ALT";5
"5079";"27612";"20/09/2016";7744;"Score NER";0.033188038917773
"5079";"27612";"20/09/2016";7743;"Score NEL";0.0213546290318445
"5079";"27612";"20/09/2016";7644;"Score NTE";9.63648190983841
"5079";"27612";"20/09/2016";7786;"Score DIT";1.35280312264471
"5079";"27612";"20/09/2016";7746;"Score DIO";5.00544109888584
"5079";"27612";"20/09/2016";7745;"Score DII";3.67024392440035
"5079";"27612";"20/09/2016";7787;"Score DTI";1.41615711854612
"5079";"27612";"20/09/2016";7036;"IPR";21.135669842265
"39610";"27612";"22/08/2018";NA;"ALT";5
"39610";"27612";"22/08/2018";7744;"Score NER";4.58558767982778
"39610";"27612";"22/08/2018";7743;"Score NEL";0.970992454379011
"39610";"27612";"22/08/2018";7644;"Score NTE";2.01096249991478
"39610";"27612";"22/08/2018";7786;"Score DIT";1.81606031227169
"39610";"27612";"22/08/2018";7746;"Score DIO";5.61375416636601
"39610";"27612";"22/08/2018";7745;"Score DII";6.19031743064051
"39610";"27612";"22/08/2018";7787;"Score DTI";0.13108879865444
"39610";"27612";"22/08/2018";7036;"IPR";21.3187633420542
"83488";"27612";"08/09/2020";NA;"ALT";5
"83488";"27612";"08/09/2020";7744;"Score NER";1.64700031793646
"83488";"27612";"08/09/2020";7743;"Score NEL";3.26630204555282
"83488";"27612";"08/09/2020";7644;"Score NTE";12.1345379984332
"83488";"27612";"08/09/2020";7786;"Score DIT";0.976375002171756
"83488";"27612";"08/09/2020";7746;"Score DIO";4.26470671498657
"83488";"27612";"08/09/2020";7745;"Score DII";5.02736738840089
"83488";"27612";"08/09/2020";7787;"Score DTI";1.24245314469177
"83488";"27612";"08/09/2020";7036;"IPR";28.5587426121735
"88569";"27612";"20/09/2022";NA;"ALT";5
"88569";"27612";"20/09/2022";7744;"Score NER";4.56104561174905
"88569";"27612";"20/09/2022";7743;"Score NEL";3.22137455216626
"88569";"27612";"20/09/2022";7644;"Score NTE";2.00775147348517
"88569";"27612";"20/09/2022";7786;"Score DIT";0.273138879634898
"88569";"27612";"20/09/2022";7746;"Score DIO";1.25050923885108
"88569";"27612";"20/09/2022";7745;"Score DII";2.64602202005434
"88569";"27612";"20/09/2022";7787;"Score DTI";3.27619647965565
"88569";"27612";"20/09/2022";7036;"IPR";17.2360382555965
"20570";"32733";"05/08/2013";NA;"ALT";960
"20570";"32733";"05/08/2013";7744;"Score NER";0.242970875190314
"20570";"32733";"05/08/2013";7743;"Score NEL";1.86684013929109
"20570";"32733";"05/08/2013";7644;"Score NTE";1.39704071570034
"20570";"32733";"05/08/2013";7786;"Score DIT";0.340804061118768
"20570";"32733";"05/08/2013";7746;"Score DIO";1.66711411601353
"20570";"32733";"05/08/2013";7745;"Score DII";1.39821877318066
"20570";"32733";"05/08/2013";7787;"Score DTI";0.523536125306053
"20570";"32733";"05/08/2013";7036;"IPR";7.43652480580075
"20589";"32733";"17/07/2014";NA;"ALT";960
"20589";"32733";"17/07/2014";7744;"Score NER";0.224456020646659
"20589";"32733";"17/07/2014";7743;"Score NEL";1.70416084963533
"20589";"32733";"17/07/2014";7644;"Score NTE";1.1737277660536
"20589";"32733";"17/07/2014";7786;"Score DIT";0.359193451164285
"20589";"32733";"17/07/2014";7746;"Score DIO";1.65249186653268
"20589";"32733";"17/07/2014";7745;"Score DII";2.30715137043472
"20589";"32733";"17/07/2014";7787;"Score DTI";1.67184845745111
"20589";"32733";"17/07/2014";7036;"IPR";9.09302978191838
"20620";"32733";"06/07/2015";NA;"ALT";960
"20620";"32733";"06/07/2015";7744;"Score NER";0.280736885034375
"20620";"32733";"06/07/2015";7743;"Score NEL";2.1619548876745
"20620";"32733";"06/07/2015";7644;"Score NTE";1.81435739005648
"20620";"32733";"06/07/2015";7786;"Score DIT";0.216376007997835
"20620";"32733";"06/07/2015";7746;"Score DIO";1.31027775712866
"20620";"32733";"06/07/2015";7745;"Score DII";1.23711467782504
"20620";"32733";"06/07/2015";7787;"Score DTI";0.37679844535847
"20620";"32733";"06/07/2015";7036;"IPR";7.39761605107536
"20644";"32733";"07/07/2016";NA;"ALT";960
"20644";"32733";"07/07/2016";7744;"Score NER";0.246213397372745
"20644";"32733";"07/07/2016";7743;"Score NEL";1.89416095205625
"20644";"32733";"07/07/2016";7644;"Score NTE";1.43493797694861
"20644";"32733";"07/07/2016";7786;"Score DIT";0.256335030988644
"20644";"32733";"07/07/2016";7746;"Score DIO";1.37125612123579
"20644";"32733";"07/07/2016";7745;"Score DII";2.28463673314355
"20644";"32733";"07/07/2016";7787;"Score DTI";1.71540997014471
"20644";"32733";"07/07/2016";7036;"IPR";9.20295018189031
"20661";"32733";"08/08/2017";NA;"ALT";960
"20661";"32733";"08/08/2017";7744;"Score NER";0.275245900856826
"20661";"32733";"08/08/2017";7743;"Score NEL";2.12222696029913
"20661";"32733";"08/08/2017";7644;"Score NTE";1.75699476462444
"20661";"32733";"08/08/2017";7786;"Score DIT";0.218902471173243
"20661";"32733";"08/08/2017";7746;"Score DIO";1.30704925555512
"20661";"32733";"08/08/2017";7745;"Score DII";1.46663202560304
"20661";"32733";"08/08/2017";7787;"Score DTI";0.68386320022485
"20661";"32733";"08/08/2017";7036;"IPR";7.83091457833664
"39343";"32733";"09/08/2018";NA;"ALT";960
"39343";"32733";"09/08/2018";7744;"Score NER";0.288090560979653
"39343";"32733";"09/08/2018";7743;"Score NEL";2.21345764201943
"39343";"32733";"09/08/2018";7644;"Score NTE";1.88941678207514
"39343";"32733";"09/08/2018";7786;"Score DIT";0.220356153938086
"39343";"32733";"09/08/2018";7746;"Score DIO";1.34495646627689
"39343";"32733";"09/08/2018";7745;"Score DII";1.4337370035153
"39343";"32733";"09/08/2018";7787;"Score DTI";0.661336156338598
"39343";"32733";"09/08/2018";7036;"IPR";8.0513507651431
"82969";"32733";"26/06/2019";NA;"ALT";960
"82969";"32733";"26/06/2019";7744;"Score NER";0.294580048926088
"82969";"32733";"26/06/2019";7743;"Score NEL";2.25729451583807
"82969";"32733";"26/06/2019";7644;"Score NTE";1.95399397511137
"82969";"32733";"26/06/2019";7786;"Score DIT";0.212457088629731
"82969";"32733";"26/06/2019";7746;"Score DIO";1.32613226221855
"82969";"32733";"26/06/2019";7745;"Score DII";2.43823299867017
"82969";"32733";"26/06/2019";7787;"Score DTI";2.04956949468206
"82969";"32733";"26/06/2019";7036;"IPR";10.532260384076
"84493";"32733";"23/06/2020";NA;"ALT";960
"84493";"32733";"23/06/2020";7744;"Score NER";0.270457161844176
"84493";"32733";"23/06/2020";7743;"Score NEL";2.08669140296687
"84493";"32733";"23/06/2020";7644;"Score NTE";1.70604495760645
"84493";"32733";"23/06/2020";7786;"Score DIT";0.280997736649209
"84493";"32733";"23/06/2020";7746;"Score DIO";1.54230995461509
"84493";"32733";"23/06/2020";7745;"Score DII";1.53080989107081
"84493";"32733";"23/06/2020";7787;"Score DTI";0.762478431025721
"84493";"32733";"23/06/2020";7036;"IPR";8.17978953577832
"87145";"32733";"30/06/2021";NA;"ALT";960
"87145";"32733";"30/06/2021";7744;"Score NER";0.255485875191659
"87145";"32733";"30/06/2021";7743;"Score NEL";1.97026830469348
"87145";"32733";"30/06/2021";7644;"Score NTE";1.54120554744475
"87145";"32733";"30/06/2021";7786;"Score DIT";0.299535855366858
"87145";"32733";"30/06/2021";7746;"Score DIO";1.56449501754837
"87145";"32733";"30/06/2021";7745;"Score DII";2.51714674449531
"87145";"32733";"30/06/2021";7787;"Score DTI";2.05275704472605
"87145";"32733";"30/06/2021";7036;"IPR";10.2008943894665
"88790";"32733";"01/07/2022";NA;"ALT";960
"88790";"32733";"01/07/2022";7744;"Score NER";0.289558702563029
"88790";"32733";"01/07/2022";7743;"Score NEL";2.22350718902997
"88790";"32733";"01/07/2022";7644;"Score NTE";1.90416202845305
"88790";"32733";"01/07/2022";7786;"Score DIT";0.290371546828256
"88790";"32733";"01/07/2022";7746;"Score DIO";1.63284255588394
"88790";"32733";"01/07/2022";7745;"Score DII";1.61119217170099
"88790";"32733";"01/07/2022";7787;"Score DTI";0.909001247941452
"88790";"32733";"01/07/2022";7036;"IPR";8.86063544240069
"90033";"32733";"04/07/2023";NA;"ALT";960
"90033";"32733";"04/07/2023";7744;"Score NER";0.270814921612867
"90033";"32733";"04/07/2023";7743;"Score NEL";2.08937482675499
"90033";"32733";"04/07/2023";7644;"Score NTE";1.70988112827189
"90033";"32733";"04/07/2023";7786;"Score DIT";0.287912788924682
"90033";"32733";"04/07/2023";7746;"Score DIO";1.5698925434623
"90033";"32733";"04/07/2023";7745;"Score DII";2.292449514803
"90033";"32733";"04/07/2023";7787;"Score DTI";1.79544759613795
"90033";"32733";"04/07/2023";7036;"IPR";10.0157733199677
"23894";"34862";"09/08/2007";NA;"ALT";368
"23894";"34862";"09/08/2007";7744;"Score NER";1.89117297876532
"23894";"34862";"09/08/2007";7743;"Score NEL";1.26633493516941
"23894";"34862";"09/08/2007";7644;"Score NTE";2.72787929504839
"23894";"34862";"09/08/2007";7786;"Score DIT";0.948820790846107
"23894";"34862";"09/08/2007";7746;"Score DIO";0.237345772680577
"23894";"34862";"09/08/2007";7745;"Score DII";0.696036825493585
"23894";"34862";"09/08/2007";7787;"Score DTI";0.233556649518411
"23894";"34862";"09/08/2007";7036;"IPR";8.00114724752179
"23893";"34862";"16/07/2009";NA;"ALT";368
"23893";"34862";"16/07/2009";7744;"Score NER";2.28837691851879
"23893";"34862";"16/07/2009";7743;"Score NEL";1.46935406218239
"23893";"34862";"16/07/2009";7644;"Score NTE";3.44313269025975
"23893";"34862";"16/07/2009";7786;"Score DIT";0.861504959742841
"23893";"34862";"16/07/2009";7746;"Score DIO";0.0808642056854633
"23893";"34862";"16/07/2009";7745;"Score DII";0.408799909655459
"23893";"34862";"16/07/2009";7787;"Score DTI";0.544277965209631
"23893";"34862";"16/07/2009";7036;"IPR";9.09631071125433
"23892";"34862";"22/07/2011";NA;"ALT";368
"23892";"34862";"22/07/2011";7744;"Score NER";2.43717377021116
"23892";"34862";"22/07/2011";7743;"Score NEL";1.54227670195657
"23892";"34862";"22/07/2011";7644;"Score NTE";2.37993254040399
"23892";"34862";"22/07/2011";7786;"Score DIT";0.968513798028744
"23892";"34862";"22/07/2011";7746;"Score DIO";0.477066451987849
"23892";"34862";"22/07/2011";7745;"Score DII";0.343384915185317
"23892";"34862";"22/07/2011";7787;"Score DTI";1.04222257440637
"23892";"34862";"22/07/2011";7036;"IPR";9.19057075217999
"21432";"34862";"03/10/2014";NA;"ALT";368
"21432";"34862";"03/10/2014";7744;"Score NER";1.18651419801136
"21432";"34862";"03/10/2014";7743;"Score NEL";0.65144634699407
"21432";"34862";"03/10/2014";7644;"Score NTE";3.03811300331958
"21432";"34862";"03/10/2014";7786;"Score DIT";1.12353560456214
"21432";"34862";"03/10/2014";7746;"Score DIO";0.402113382747598
"21432";"34862";"03/10/2014";7745;"Score DII";0.418536332047949
"21432";"34862";"03/10/2014";7787;"Score DTI";0.34731074199725
"21432";"34862";"03/10/2014";7036;"IPR";7.16756960967994
"21431";"34862";"31/07/2015";NA;"ALT";368
"21431";"34862";"31/07/2015";7744;"Score NER";0.375082592057576
"21431";"34862";"31/07/2015";7743;"Score NEL";0.0310312030701087
"21431";"34862";"31/07/2015";7644;"Score NTE";0.972497335913419
"21431";"34862";"31/07/2015";7786;"Score DIT";0.860928334745939
"21431";"34862";"31/07/2015";7746;"Score DIO";0.0544641686862207
"21431";"34862";"31/07/2015";7745;"Score DII";0.479111015581411
"21431";"34862";"31/07/2015";7787;"Score DTI";0.02769348798627
"21431";"34862";"31/07/2015";7036;"IPR";2.80080813804094
"21430";"34862";"21/08/2017";NA;"ALT";368
"21430";"34862";"21/08/2017";7744;"Score NER";1.08025255456164
"21430";"34862";"21/08/2017";7743;"Score NEL";0.604156558893079
"21430";"34862";"21/08/2017";7644;"Score NTE";2.68504954587686
"21430";"34862";"21/08/2017";7786;"Score DIT";1.66370809882871
"21430";"34862";"21/08/2017";7746;"Score DIO";0.067571238289183
"21430";"34862";"21/08/2017";7745;"Score DII";0.399411301713875
"21430";"34862";"21/08/2017";7787;"Score DTI";0.838904950402205
"21430";"34862";"21/08/2017";7036;"IPR";7.33905424856555
"81944";"34862";"31/07/2019";NA;"ALT";368
"81944";"34862";"31/07/2019";7744;"Score NER";5.06174283051524
"81944";"34862";"31/07/2019";7743;"Score NEL";3.42217761831397
"81944";"34862";"31/07/2019";7644;"Score NTE";5.51933423858819
"81944";"34862";"31/07/2019";7786;"Score DIT";1.88449268304385
"81944";"34862";"31/07/2019";7746;"Score DIO";0.352105613822176
"81944";"34862";"31/07/2019";7745;"Score DII";0.597135065486431
"81944";"34862";"31/07/2019";7787;"Score DTI";1.45011726453695
"81944";"34862";"31/07/2019";7036;"IPR";18.2871053143068
"86702";"34862";"09/09/2021";NA;"ALT";368
"86702";"34862";"09/09/2021";7744;"Score NER";2.60990839803376
"86702";"34862";"09/09/2021";7743;"Score NEL";0.597488031733473
"86702";"34862";"09/09/2021";7644;"Score NTE";1.50364650797241
"86702";"34862";"09/09/2021";7786;"Score DIT";1.0903190111033
"86702";"34862";"09/09/2021";7746;"Score DIO";0.734798968605153
"86702";"34862";"09/09/2021";7745;"Score DII";0.645385298812744
"86702";"34862";"09/09/2021";7787;"Score DTI";0.580542876025027
"86702";"34862";"09/09/2021";7036;"IPR";7.76208909228587
"90630";"34862";"13/07/2023";NA;"ALT";368
"90630";"34862";"13/07/2023";7744;"Score NER";0.879607987910758
"90630";"34862";"13/07/2023";7743;"Score NEL";0.127830140348265
"90630";"34862";"13/07/2023";7644;"Score NTE";0.238824889504898
"90630";"34862";"13/07/2023";7786;"Score DIT";1.50974408036709
"90630";"34862";"13/07/2023";7746;"Score DIO";0.727809292725925
"90630";"34862";"13/07/2023";7745;"Score DII";0.97801525709811
"90630";"34862";"13/07/2023";7787;"Score DTI";0.519009508202158
"90630";"34862";"13/07/2023";7036;"IPR";4.9808411561572
"16595";"41469";"10/06/2008";NA;"ALT";6
"16595";"41469";"10/06/2008";7744;"Score NER";5.41165930190096
"16595";"41469";"10/06/2008";7743;"Score NEL";4.83230648137928
"16595";"41469";"10/06/2008";7644;"Score NTE";0.251725824125508
"16595";"41469";"10/06/2008";7786;"Score DIT";0.575038013555991
"16595";"41469";"10/06/2008";7746;"Score DIO";1.83144287956835
"16595";"41469";"10/06/2008";7745;"Score DII";1.30704634772576
"16595";"41469";"10/06/2008";7787;"Score DTI";2.7216746069688
"16595";"41469";"10/06/2008";7036;"IPR";16.9308934552246
"16594";"41469";"08/06/2010";NA;"ALT";6
"16594";"41469";"08/06/2010";7744;"Score NER";5.58489225972349
"16594";"41469";"08/06/2010";7743;"Score NEL";4.89768371827215
"16594";"41469";"08/06/2010";7644;"Score NTE";3.32392863760769
"16594";"41469";"08/06/2010";7786;"Score DIT";1.64830184428002
"16594";"41469";"08/06/2010";7746;"Score DIO";4.327000518885
"16594";"41469";"08/06/2010";7745;"Score DII";0.572432430577407
"16594";"41469";"08/06/2010";7787;"Score DTI";0.104302231684066
"16594";"41469";"08/06/2010";7036;"IPR";20.4585416410298
"16593";"41469";"14/06/2012";NA;"ALT";6
"16593";"41469";"14/06/2012";7744;"Score NER";5.5259705481527
"16593";"41469";"14/06/2012";7743;"Score NEL";4.87602938156437
"16593";"41469";"14/06/2012";7644;"Score NTE";0.1911533850254
"16593";"41469";"14/06/2012";7786;"Score DIT";1.60867399724196
"16593";"41469";"14/06/2012";7746;"Score DIO";4.50166332519528
"16593";"41469";"14/06/2012";7745;"Score DII";0.756251802810309
"16593";"41469";"14/06/2012";7787;"Score DTI";0.350305403755777
"16593";"41469";"14/06/2012";7036;"IPR";17.8100478437458
"15080";"41469";"20/06/2014";NA;"ALT";6
"15080";"41469";"20/06/2014";7744;"Score NER";5.55224467006321
"15080";"41469";"20/06/2014";7743;"Score NEL";4.88575977475408
"15080";"41469";"20/06/2014";7644;"Score NTE";0.99209714796323
"15080";"41469";"20/06/2014";7786;"Score DIT";1.18353587141994
"15080";"41469";"20/06/2014";7746;"Score DIO";3.14188652160908
"15080";"41469";"20/06/2014";7745;"Score DII";1.40641230608897
"15080";"41469";"20/06/2014";7787;"Score DTI";1.86641587721764
"15080";"41469";"20/06/2014";7036;"IPR";19.0283521691161
"15161";"41469";"19/05/2016";NA;"ALT";6
"15161";"41469";"19/05/2016";7744;"Score NER";5.27775773705561
"15161";"41469";"19/05/2016";7743;"Score NEL";2.32098352819816
"15161";"41469";"19/05/2016";7644;"Score NTE";3.68150264610846
"15161";"41469";"19/05/2016";7786;"Score DIT";2.23104575556699
"15161";"41469";"19/05/2016";7746;"Score DIO";5.19583574484195
"15161";"41469";"19/05/2016";7745;"Score DII";1.21623068706011
"15161";"41469";"19/05/2016";7787;"Score DTI";0.376125934160291
"15161";"41469";"19/05/2016";7036;"IPR";20.2994820329916
"38750";"41469";"05/06/2018";NA;"ALT";6
"38750";"41469";"05/06/2018";7744;"Score NER";5.37149269766443
"38750";"41469";"05/06/2018";7743;"Score NEL";4.81640791131187
"38750";"41469";"05/06/2018";7644;"Score NTE";2.21247078544668
"38750";"41469";"05/06/2018";7786;"Score DIT";2.88424941597101
"38750";"41469";"05/06/2018";7746;"Score DIO";6.64949838500082
"38750";"41469";"05/06/2018";7745;"Score DII";0.403425222774456
"38750";"41469";"05/06/2018";7787;"Score DTI";0.662318697180082
"38750";"41469";"05/06/2018";7036;"IPR";22.9998631153494
"83293";"41469";"02/06/2020";NA;"ALT";6
"83293";"41469";"02/06/2020";7744;"Score NER";5.60525422408996
"83293";"41469";"02/06/2020";7743;"Score NEL";2.41464252782354
"83293";"41469";"02/06/2020";7644;"Score NTE";3.30226909653113
"83293";"41469";"02/06/2020";7786;"Score DIT";2.30903867331314
"83293";"41469";"02/06/2020";7746;"Score DIO";5.70403483717544
"83293";"41469";"02/06/2020";7745;"Score DII";0.514916687643895
"83293";"41469";"02/06/2020";7787;"Score DTI";0.206175164266939
"83293";"41469";"02/06/2020";7036;"IPR";20.056331210844
"90758";"41469";"03/05/2023";NA;"ALT";6
"90758";"41469";"03/05/2023";7744;"Score NER";5.39328724811686
"90758";"41469";"03/05/2023";7743;"Score NEL";4.82506907259232
"90758";"41469";"03/05/2023";7644;"Score NTE";0.441979506173244
"90758";"41469";"03/05/2023";7786;"Score DIT";2.02156304613299
"90758";"41469";"03/05/2023";7746;"Score DIO";5.31780630617964
"90758";"41469";"03/05/2023";7745;"Score DII";0.511478513658235
"90758";"41469";"03/05/2023";7787;"Score DTI";0.0270817257264999
"90758";"41469";"03/05/2023";7036;"IPR";18.5382654185798
"6510";"41764";"31/08/2007";NA;"ALT";19
"6510";"41764";"31/08/2007";7744;"Score NER";0.0360967407580578
"6510";"41764";"31/08/2007";7743;"Score NEL";0.0129616770922481
"6510";"41764";"31/08/2007";7644;"Score NTE";5.62562100615939
"6510";"41764";"31/08/2007";7786;"Score DIT";1.72320029659758
"6510";"41764";"31/08/2007";7746;"Score DIO";5.19950109990167
"6510";"41764";"31/08/2007";7745;"Score DII";0.967983946428783
"6510";"41764";"31/08/2007";7787;"Score DTI";0.264157997265362
"6510";"41764";"31/08/2007";7036;"IPR";13.8295227642031
"6527";"41764";"29/08/2008";NA;"ALT";19
"6527";"41764";"29/08/2008";7744;"Score NER";0.0350332113338155
"6527";"41764";"29/08/2008";7743;"Score NEL";0.00930539577267052
"6527";"41764";"29/08/2008";7644;"Score NTE";4.10298793808824
